"s","title","subtitle","callret-3","linkedEntity","label"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10034801","historische Entwicklung"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10039009","Unternehmen"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10042741","Geschichtswissenschaft"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10045173","Geschichtsunterricht"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10057012","Russland"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10060836","Unternehmer"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10040843","Deutscher"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://lod.gesis.org/thesoz/concept/10053214","Neuzeit"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://zbw.eu/stw/descriptor/13992-3","Entrepreneurs"
"http://lod.b3kat.de/title/BV021841936","Nemeckie predprinimateli v Moskve do 1917 goda","meždunarodnaja naučnaja konferencija ; tezisy dokladov ; Moskva 22 maja 1998 g.","Deutsche - Russland - Geschichte Neuzeit - Kongressbericht ","http://zbw.eu/stw/descriptor/13992-3","Unternehmer"
